Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
28,225,561,7080,797,5196
40,18,104,627,775,620
40,35,67,370,775,248
65,25,86,210,567,22.4
28,250,601,8000,1000,6691
55,141,260,754,738,470
40,14,57,260,625,48.96
80,60,169,289,675,92.8
65,58,240,505,600,144
80,14,127,210,450,28.8
16,120,200,4400,1506,4375
28,65,123,1500,925,947.2
40,15,59,292,750,120
40,26,104,716,450,432
40,29,116,585,700,134.4
28,250,366,5000,909,3723
14,260,495,12500,1440,12290
40,75,332,1950,575,772.8
55,65,135,378,722,173.3
16,75,200,4400,1291,2974
40,14,57,260,535,39.36
12,260,754,18600,1065,12860
28,32,118,1270,625,480
55,25,73,242,600,96
28,122,294,3540,771,2448
40,45,118,716,600,576
28,150,366,5000,920,3297
28,75,294,3540,654,753.4
28,50,118,1270,950,729.6
55,23,121,314,500,80
28,50,56,690,1030,659.2
28,15,87,1020,719,276.1
28,100,160,2080,1075,1651
65,20,162,282,450,35.2
28,75,294,3540,601,1154
28,95,366,5000,735,4096
28,17,245,2410,533,204.7
16,180,314,7200,1607,8186
28,68,148,1870,902,1058
14,75,123,3000,907,1393
16,100,314,7200,1316,8033
28,180,212,2800,980,2637
14,15,210,4940,300,384.4
28,75,212,2800,700,1792
40,25,104,627,550,440
14,65,210,4940,300,1126
28,130,118,1270,850,326.4
65,35,86,210,540,20.8
28,100,160,2080,1000,1613
14,25,74,1800,1519,1215
28,55,221,2540,667,768.4
40,45,144,727,561,162
28,245,561,7080,575,3312
8,140,392,17400,735,19170
55,23,121,314,600,96
14,35,210,4940,300,1832
8,200,392,17400,1575,21750
80,47,169,289,540,76.16
55,600,470,1400,648,622.1
12,90,545,13600,735,6447
40,66,118,716,800,768
7,130,251,10300,1243,7675
40,250,334,2154,850,2720
28,50,56,690,1030,659.2
12,160,545,13600,1005,7119
40,19,59,292,650,104
40,151,255,1700,900,2016
40,49,116,585,660,126.7
16,15,100,2000,384,393.2
14,45,123,3000,1090,2106
32,35,246,1303,514,184.3
28,375,365,4313,950,4096
40,170,332,1950,850,1306
7,130,251,10300,1243,6221
32,35,246,1303,515,337.9
28,45,118,1270,835,729.6
40,35,104,627,550,528
40,39,104,627,650,520
28,50,123,1500,630,645.1
14,65,210,4940,300,1746
14,50,123,3000,1019,1097
16,180,314,7200,1607,8873
14,130,232,5700,1188,5728
28,170,294,3540,980,2378
28,130,118,1270,850,326.4
40,225,529,3100,574,1030
55,30,146,514,600,384
28,250,561,7080,889,5645
32,17,246,1303,327,162.8
16,180,314,7200,1607,8873
28,65,221,2540,1050,806.4
7,85,158,6400,1000,3200
22,300,350,5000,1100,501.6
32,65,246,1303,760,389.1
65,12,144,314,450,35.2
40,106,238,1170,783,451
28,85,160,2080,1100,1971
90,171,484,681,612,387.1
40,25,104,716,725,696
90,155,484,681,576,345.6
14,50,123,3000,1002,1887
7,295,331,13230,1400,13440
28,45,148,1870,1058,1151
14,200,232,5700,1188,5728
22,245,350,5000,1053,505.4
